,text,FINAL_LABEL
85,y all complain about the idiocy of a two party system but still tweet these super annoying false equivalencies,IRRELEVANT
85,y all complain about the idiocy of a two party system but still tweet these super annoying false equivalencies,RELEVANT
86,nan,IRRELEVANT
86,nan,IRRELEVANT
87,you show me love that i wish you can show yourself because you are an amazing human,IRRELEVANT
87,you show me love that i wish you can show yourself because you are an amazing human,IRRELEVANT
88,you can t force yourself to feel things you don t feel for people that s where toxicity is birthed,IRRELEVANT
88,you can t force yourself to feel things you don t feel for people that s where toxicity is birthed,IRRELEVANT
89,yooooo why are white claws so sneaky i poured a mango one in one of those venti sbux cups with malibu rum and some oj i m feeling it man,IRRELEVANT
89,yooooo why are white claws so sneaky i poured a mango one in one of those venti sbux cups with malibu rum and some oj i m feeling it man,RELEVANT
90,yo remember when people lost their fucking minds about michael phelps bong rip,IRRELEVANT
90,yo remember when people lost their fucking minds about michael phelps bong rip,IRRELEVANT
91,yes im toxic amp no i dnt care,IRRELEVANT
91,yes im toxic amp no i dnt care,IRRELEVANT
92,yall not about to watch insecure in my face like this,IRRELEVANT
92,yall not about to watch insecure in my face like this,IRRELEVANT
93,nan,IRRELEVANT
93,nan,IRRELEVANT
94,chk out this thread from dc covid19 funding and policies needed asap for youth and adults impacted by th,IRRELEVANT
94,chk out this thread from dc covid19 funding and policies needed asap for youth and adults impacted by th,IRRELEVANT
95,usa numbers infections 677 570 29 567 dead 34 617 2 174 thursday april 16 2020 western w,IRRELEVANT
95,usa numbers infections 677 570 29 567 dead 34 617 2 174 thursday april 16 2020 western w,IRRELEVANT
96,the nonprofit group stop aapi hate has logged more than 1 100 reports of coronavirus discrimination against asian,IRRELEVANT
96,the nonprofit group stop aapi hate has logged more than 1 100 reports of coronavirus discrimination against asian,IRRELEVANT
97,the most misleading cliche about the coronavirus is that it treats us all the same it doesn t neither medically,IRRELEVANT
97,the most misleading cliche about the coronavirus is that it treats us all the same it doesn t neither medically,IRRELEVANT
98,i just know my brother s fighting for his life she said it makes you ask yourself the disabled and the elder,IRRELEVANT
98,i just know my brother s fighting for his life she said it makes you ask yourself the disabled and the elder,IRRELEVANT
99,equity matters centralize equity into your covid19 funding and programming communities of color are suffering,IRRELEVANT
99,equity matters centralize equity into your covid19 funding and programming communities of color are suffering,IRRELEVANT
100,this is what social distancing feels like,IRRELEVANT
100,this is what social distancing feels like,IRRELEVANT
101,they still talking about how they gonna limit items amp shit and only let so many people in some places but my mind s,IRRELEVANT
102,so you going out in a pandemic is going to resolve this situations huh,IRRELEVANT
103,saw a bunny on my walk around the block tonight nature is healing we are the virus,IRRELEVANT
104,omfg i literally don t know what to do with myself like when i tell you my body feels like it,IRRELEVANT
105,old dude said we need to go back to work let the young ones work guy responded and said young people are dying,IRRELEVANT
106,my cousin was healthy yet still contracted the virus and passed i thought of no better way to honor his memory tha,IRRELEVANT
107,meanwhile affluent white communities on the west side of moco where there are substantially fewer coronavirus case,IRRELEVANT
108,nan,IRRELEVANT
109,infection rates for the new coronavirus and has seen more than 1 768 residents die including another 166 people in,RELEVANT
110,nan,IRRELEVANT
111,i am legitimately the closest i have ever been to physically assaulting a stranger over this social distancing shit,IRRELEVANT
112,how my work isn t sending us home is beyond me running out of work to do someone was possibly exposed to covid on,IRRELEVANT
113,nan,RELEVANT
114,as much as i know y all love these little fabric masks you guys are making and wearing i just want you to know it s,RELEVANT
115,all this hand sanitizer has my hands looking like reptile skin smh,IRRELEVANT
116,your stupidity and gross negligence is going to cost a lot of people their lives,IRRELEVANT
117,you know you have good friends when they personally deliver your favorite wine to your front porch to ensure you re,IRRELEVANT
118,yo this virus is so real ugh be safe everybody i got my elders locked up somewhere they not comin our ti,IRRELEVANT
119,yesterday we had the opportunity to serve our ward 8 by partnering to provide over 500 meals to our community s,IRRELEVANT
120,yes mr president of america what are you waiting for its already half of 500k cases oh you mean you want it,IRRELEVANT
121,yall please take this virus seriously,IRRELEVANT
122,nan,IRRELEVANT
123,wow not an oz fan and his point deserves a better explanation will try to give it hear 1 he is not talking abou,IRRELEVANT
124,work hard to get masks and tests to people suffering that s it,IRRELEVANT
125,with all the science and data driving expert advisors to has anyone heard data regarding rates of infection,IRRELEVANT
126,will dc shut down or cite uhop for continuing to gather note everyone going in and out of the church door and not,RELEVANT
127,wider sidewalks enables safe distances for people and is easy to do widendcsidewalks,RELEVANT
128,why were you in the store without a mask don t you care about the safety of your fellow man that was a rhetorica,IRRELEVANT
129,why haven t we seen anything on the end of nursing homes no one is going to want to be in one amp no one is going to,IRRELEVANT
130,why are we using old solutions to a new problem why don t we deliver food to people so we don t create long lines,IRRELEVANT
131,while the rich people are at home self quarantining the poor people are out working if that doesn t show you who t,IRRELEVANT
132,while singing the reading rainbow theme song tonight our 7 yr old sang iiiiiii can t go anywherrrrrrre because,IRRELEVANT
133,where are people buying cloth masks are there folks making them in dc,RELEVANT
134,when we put front line workers at risk we put the entire population s health amp safety in jeopardy to get workers,RELEVANT
135,we ve transitioned from wait and see to respond to significant contingency planning just in case a major milestone,RELEVANT
136,we supposed to be in the fucking house quarantine stupid ass dummy what happened to social distancing,IRRELEVANT
137,we re reminded daily of what we have our very worst person as president,IRRELEVANT
138,we re serving smiles here in hrva our student volunteers provided 100 locally prepared lunches to the staff at b,IRRELEVANT
139,well that was a bust was at the doctor s getting blood gone amp i had trouble coughing i ve never been pushed out o,IRRELEVANT
140,well damn covid 19 has now infiltrated the county i live in gonna be on high alert now and not even leave the house i m sad,IRRELEVANT
141,we suppose to be social distancing and the ppl across the street is having a party amp amp nobody has on a mask,IRRELEVANT
142,we shared some treats with the icu nurses and staff of georgetown we re so grateful for their,IRRELEVANT
143,we are so ecstatic to be able to continue to provide immediate assistance to those affected by the coronavirus cov,IRRELEVANT
144,we love your outdoor photos especially when they help our forecasts tell the regional weather sto,IRRELEVANT
145,wake up america liberals are lying about covid19 deaths they want to keep us from voting they don t care if th,IRRELEVANT
146,who official says she suspected human to human transmission right from the start but the who repeated china s l,IRRELEVANT
147,virginia population is 8 1 2 million we have had 165 deaths and 6 500 cases our governor has extended the shut do,IRRELEVANT
148,us bishop vows to refuse covid 19 vaccine if made from aborted fetal tissue news lifesite,IRRELEVANT
149,turning pain into power as my family try s to make sense of my cousins death due to covid19 we see memes about bl,RELEVANT
150,trump on virus tests the federal government shouldn t be forced to do everything how about doing anything,IRRELEVANT
151,trump is posing a public health threat that must be addressed,IRRELEVANT
152,trump did not close the economy the coronavirus did trump cannot open the economy only testing effective,RELEVANT
153,toys for tots to donate 2 million toys books and games to families in need amid pandemic,IRRELEVANT
154,touch me in the morning has been removed from my playlist due to covid 19 apparently my life now too dianaross,IRRELEVANT
155,totally agree and i would include all of the respiratory therapist physical therapists etc and the fol,RELEVANT
156,took a masked walk today for literally five hours everyone was social distancing often there were just a few peop,IRRELEVANT
157,tonight join us for this high impact panel on covid 19 amp maternal and child health designed for the non medical c,IRRELEVANT
158,nan,RELEVANT
159,to all the charities and people donating to essential workers it s not just healthcare employees working right now,IRRELEVANT
160,to all food service workers thank you googledoodle,IRRELEVANT
161,three of the hardest hit zip codes in maryland are in silver spring accounting for 383 coronavirus cases,RELEVANT
162,those interested in joining sponsored covid19 serosurvey clinical trial to quantify exposure amp undetect,RELEVANT
163,this woman is standing so close behind me that can t hear my headphones over her ranting about the store employees not wearing face masks,IRRELEVANT
164,this pandemic is exposing the mess us healthcare is,IRRELEVANT
165,this pandemic and its disproportionate effects on minority communities is shining a light on environmental racism,RELEVANT
166,this is 2020 fortunate to be sheltered in place with these people happy easter,IRRELEVANT
167,this guy had flu like symptoms in the train no mask nothing his stop was deanwood i didn t c,IRRELEVANT
168,this mondaymention goes out to the this legendary team is working hard to continue providing their dail,IRRELEVANT
169,the fact that fucking donald trump is making life and death decisions for our country is so terrifying,IRRELEVANT
170,the county is now accepting applications from county businesses amp nonprofits for the public health emergency grant,IRRELEVANT
171,the safest way to complete the 2020census is now while we stayhomedc together you can fill it out at home wit,IRRELEVANT
172,the art angle podcast how photography is being revolutionized in the coronavirus era artnet news,IRRELEVANT
173,the dr burke just gave kudos to and thank you for your leadership during,IRRELEVANT
174,the real mvps of social distancing,IRRELEVANT
175,the lack of action to fight the spread of the coronavirus in elderly care facilities across the country is an outr,IRRELEVANT
176,there s a big jump in numbers for fluvanna they have 62 cases now because of an outbreak in a long term care facil,RELEVANT
177,nan,IRRELEVANT
178,the only reason we have any hand sanitizer in our house is because my mom used to put it in our christmas stocking,IRRELEVANT
179,the curve is definitely bending ie velocity of claims is slowing and ui offices are working hard to get people o,IRRELEVANT
180,nan,IRRELEVANT
181,the ads come as trump campaign officials lay plans to try to make the general election campaign more about the bide,IRRELEVANT
182,the trump administration has told employers that they don t have to track cases of covid 19 among their workers,IRRELEVANT
183,thats interesting the c virus daily new case counts start to flatten so what does the va state health dept do o,IRRELEVANT
184,that s the long pole in the tent chris until you beat the virus there is no bringing back the economy some will i,IRRELEVANT
185,thank you for helping put computers in the hands of computer core students as we begin distance learning spring2ac,IRRELEVANT
186,thank you for highlighting feedthefrontlines and work to help support the health care heroes,IRRELEVANT
187,thank you general for speaking of the impact of covid19 on our nativeamerican brothers and sisters for,IRRELEVANT
188,thank you and for talking today to 32bj s essential service workers who risk their,IRRELEVANT
189,thank you for extending status and waiving change fees during covid 19 travel aadvantage,IRRELEVANT
190,social distancing amp wearing masks to the grocery store all feels so normal now it ll be weird going back to reality once this is all over,RELEVANT
191,social distancing virtual ride make the best of it and stay safe btp wegetit beechtree,IRRELEVANT
192,social distancing for relief payment recipients,IRRELEVANT
193,stanford crowdsources county level covid 19 policy data coronavirus,RELEVANT
194,nan,RELEVANT
195,some upbeat opimistic scenarios for consideration of how the world recovery might take shape but what if survivors,RELEVANT
196,social distancing with unc b saint katherine greek orthodox church in falls church dc,RELEVANT
197,social distancing wishing i was out cruising the beaches amp parks but safe amp sound at home gopro gopro,RELEVANT
198,so what i do know is there was an incident around simple city and these officers don t have on any ppe at all,IRRELEVANT
199,so where are people going to find masks because there are none available for purchase,RELEVANT
200,so weed and alcohol can make the coronavirus worse,IRRELEVANT
201,so how many people have to say that we need to ramp up testing to get to our new normal my dad s next door neighbor,IRRELEVANT
202,so grateful to see a story on news about a family reunited during pandemic this quote was shared that is be,IRRELEVANT
203,small new study may provide clues into asymptomatic carriers of coronavirus covid 19 via,RELEVANT
204,since we re going into warmer weather w covid are we testing the possibility of peer to peer transmission via mosquitos,RELEVANT
205,since won t take responsibility for a slow response to covid19 he should have zero say in restar,IRRELEVANT
206,share your healthyathome tips washingtondc city life has benefits but during covid19 is 95 time indoors ti,IRRELEVANT
207,share this graphic to let others know how we can together stop the spread of germs stayhomedc,IRRELEVANT
208,share this graphic to help others understand the symptoms of coronavirus covid 19 stayhomedc,IRRELEVANT
209,see it s people like george that should be scary to others those who have it but are completely asymptomatic ver,IRRELEVANT
210,researchers have discovered six new coronaviruses in bats in myanmar the first time these viruses have been dete,RELEVANT
211,republicans take aim at michigan governor over virus response gov gretchen whitmer is und,IRRELEVANT
212,reports confirm brazil s minister of health has been fired following weeks of tension as he and president bolsonaro,IRRELEVANT
213,reminder that if you re wearing a surgical mask you have to pinch the top so that there s no space between your face and the mask,RELEVANT
214,nan,RELEVANT
215,public health information is never too much but can be too late for the people who need it most,IRRELEVANT
216,proud of the innovative and proactive approach has taken to help hospitals access critical medical suppl,IRRELEVANT
217,proud of our community of businesses thank you all mcduffie,IRRELEVANT
218,previously referring to a friend presumably chera who has contracted the coronavirus had told reporters,IRRELEVANT
219,president trump democrats continue to block additional paycheck protection plan for workers and small business in,IRRELEVANT
220,prepping lunch for doctors nurses and healthcare workers in hospitals and emergency rooms all over the country ar,RELEVANT
221,polling stations across south korea are being disinfected regularly while voting is open and voters will have thei,IRRELEVANT
222,please stop essential businesses making employees come in who work at desks phones they can work from home there,RELEVANT
223,please be safe and healthy in these trying times very truly yours kiy dfn care s president amp ceo,IRRELEVANT
224,photo of a republican led protest in lansing mich against gov gretchen whitmer s stay at home order notice how,RELEVANT
225,perversely the greater the lockdown succeeds in stopping the spread of the virus the easier a political target it,IRRELEVANT
226,people died because was mad that someone told the public the truth,IRRELEVANT
227,people aren t staying 6 feet apart but everyone seems to have surgical masks,RELEVANT
228,p h a s e 1 o f ouaa2maga all vulnerable individuals should continue to shelter in place members of househ,IRRELEVANT
229,over a month into this pandemic and i still have to push this inaccessible ancient beg button to cross the street a,IRRELEVANT
230,our premiere edition of frontline conversations launches wednesday at 12pm we are bringing together leaders for in,IRRELEVANT
231,our medical staff on the front lines dealing with lives loss and emotions i m grateful for this nurse keeping it,RELEVANT
232,our campus may be closed but classes are in session we have been remote learning for several weeks now take a pee,IRRELEVANT
233,one month ago today we made the decision to closed up shop to do our part to stop the spread covid 19 this pictu,IRRELEVANT
234,non household group exercise is not allowed this reckless behavior puts people s lives at risk don t do it,IRRELEVANT
235,newborn babies given mini face shields at hospitals in thailand,IRRELEVANT
236,nan,IRRELEVANT
237,nsf rapid grant backs princeton research to track and contain pandemic coronavirus,IRRELEVANT
238,now is holding his covid19 press conference virginia coronavirus,RELEVANT
239,my top tip today if you are caring for covid19 patients is to follow a rehab psychologist devoti,RELEVANT
240,my mom went to the doctor in lynchburg and they handed her a questionnaire have you had a fever cough etc but,RELEVANT
241,my mom made homemade face shields im trying cop one,IRRELEVANT
242,my grandparents are so worried about our family and wanting to give us all their food masks gloves etc when in,IRRELEVANT
243,my friends 90 year old mom she is in a nursing home and he has been unable to visit with her but her personality,IRRELEVANT
244,my inspired face mask quarantineactivities facemask masks4all,IRRELEVANT
245,mr johnson sends big thanks to all of the heroes on the frontlines especially our partners at to,IRRELEVANT
246,nan,RELEVANT
247,more ways to help your community during this crisis is asking for an additional 30k medical amp non med,RELEVANT
248,medically he s a very interesting case not that we like to refer to patients as cases but you know what i mean,IRRELEVANT
249,mcconnell spox on trump threatening to adjourn congress if they don t vote on his nominees the leader pledged to,IRRELEVANT
250,mandatory face mask order in prince george s county beltway plaza mall,RELEVANT
251,lol you really can t count on nobody in this world maybe this is the brightside of this whole corona virus,IRRELEVANT
252,listen to y all friend say that a 2 3 in total mortality rate of kids might be a good trade off to send kids,IRRELEVANT
253,line wraps around 3 blocks for entrance to dupont circle farmer s market coronavirususa dctraffic washingtondc,RELEVANT
254,let s see if i can sleep tonight without coughing thinking i m dying of the rona,IRRELEVANT
255,let em go seriously let all the republicans amp trump supporters populate society amp dems will just hang back amp let,IRRELEVANT
256,largely agree with this assessment but the game isn t over summer is likely to be a much needed break which we,IRRELEVANT
257,nan,IRRELEVANT
258,just made some hand sanitizer,IRRELEVANT
259,just in new jobs numbers show that more than 5 million people filed for unemployment benefits last week 22 milli,IRRELEVANT
260,just chillin waiting for the virus to pass as seen on for sheen curves for,IRRELEVANT
261,just confirmed envoy at the village in fluvanna county has covid 19 in their facility i talked to a spokeswoman,RELEVANT
262,join us today at 2pm et fb live impact of covid 19 on communities of color especially looking at,IRRELEVANT
263,join and for a webinar on cancer covid 19 and disparities on 4 23 20 12 00 1 00,IRRELEVANT
264,i m joining today from 3 4 pm et for a gpfactcheck twitter chat to talk about how covid19 impacts yo,IRRELEVANT
265,i m currently using a hand sanitizer made with ethyl alcohol vanilla and cocoa bean and it makes me smell like a c,IRRELEVANT
266,it s absolute bull shit that i have to watch my grandfathers funeral on a computer today i didn t get to say good,RELEVANT
267,it seems the only person in the florida admin who cares about floridians is the only dem in the cabinet thank you,IRRELEVANT
268,is she talking about a coup msnbc host suggests biden form shadow government to counter trump on coronavirus,IRRELEVANT
269,in print today d c area residents with disabilities report having to wait up to two weeks to get groceries delive,IRRELEVANT
270,nan,IRRELEVANT
271,in a statement released this week condemned brazilian president bolsonaro s efforts to counter health experts,IRRELEVANT
272,nan,RELEVANT
273,if you re not already watching i highly recommend starting now during covid19 we did at my brother,IRRELEVANT
